"cohort","id","trueHRD","CNA","ASCN","SNV","SNV+CNA","SNV+ASCN"
"TCGA","TCGA-A8-A06P-01","0",0.126,0.054,0.002,0.05,0.044
"TCGA","TCGA-A8-A06Q-01",NA,0,0.004,0.128,0.12,0.034
"TCGA","TCGA-A8-A06R-01",NA,0.042,0.302,0.172,0.136,0.296
"TCGA","TCGA-A8-A06T-01",NA,0,0,0.002,0,0
"TCGA","TCGA-A8-A06U-01",NA,0.006,0.094,0,0.022,0.024
"TCGA","TCGA-A8-A06X-01","1",0.896,0.862,0.778,0.8,0.784
"TCGA","TCGA-A8-A06Y-01","0",0.016,0.006,0.002,0.01,0.004
"TCGA","TCGA-A8-A06Z-01",NA,0.016,0,0.268,0.058,0.018
"TCGA","TCGA-A8-A075-01","0",0.134,0.132,0.282,0.308,0.244
"TCGA","TCGA-A8-A076-01",NA,0.01,0.006,0.004,0,0.002
"TCGA","TCGA-A8-A079-01",NA,0.128,0.028,0.1,0.046,0.03
"TCGA","TCGA-A8-A07B-01",NA,0.014,0.006,0.018,0.016,0.008
"TCGA","TCGA-A8-A07E-01",NA,0.002,0.002,0.024,0.014,0.002
"TCGA","TCGA-A8-A07F-01","0",0,0.002,0.016,0.018,0.014
"TCGA","TCGA-A8-A07G-01","0",0.02,0.068,0.032,0.022,0.034
"TCGA","TCGA-A8-A07I-01","1",0.626,0.622,0.644,0.66,0.616
"TCGA","TCGA-A8-A07J-01","0",0,0.004,0.052,0.012,0.008
"TCGA","TCGA-A8-A07L-01",NA,0.246,0.59,0.356,0.328,0.56
"TCGA","TCGA-A8-A07O-01",NA,0.108,0.026,0,0.054,0.034
"TCGA","TCGA-A8-A07P-01",NA,0.006,0.004,0,0.004,0
"TCGA","TCGA-A8-A07U-01",NA,0.55,0.63,0.176,0.39,0.448
"TCGA","TCGA-A8-A07W-01",NA,0.116,0.014,0.258,0.124,0.02
"TCGA","TCGA-A8-A07Z-01",NA,0.002,0.03,0,0.002,0.004
"TCGA","TCGA-A8-A081-01",NA,0.006,0.01,0.44,0.158,0.118
"TCGA","TCGA-A8-A082-01","0",0,0,0,0,0
"TCGA","TCGA-A8-A083-01","0",0.012,0.01,0.002,0,0
"TCGA","TCGA-A8-A084-01",NA,0.006,0.008,0.004,0.004,0.006
"TCGA","TCGA-A8-A085-01","1",0.604,0.672,0.91,0.73,0.724
"TCGA","TCGA-A8-A086-01",NA,0,0,0.002,0,0
"TCGA","TCGA-A8-A08A-01","0",0.004,0,0,0.002,0
"TCGA","TCGA-A8-A08B-01","1",0.67,0.622,0.63,0.612,0.6
"TCGA","TCGA-A8-A08F-01",NA,0.542,0.68,0.538,0.476,0.45
"TCGA","TCGA-A8-A08G-01","0",0.002,0.002,0.008,0,0.002
"TCGA","TCGA-A8-A08H-01","0",0,0,0.08,0.01,0.002
"TCGA","TCGA-A8-A08I-01",NA,0.096,0.012,0.03,0.144,0.02
"TCGA","TCGA-A8-A08J-01",NA,0,0.002,0.02,0.014,0
"TCGA","TCGA-A8-A08L-01","1",0.944,0.868,0.798,0.848,0.776
"TCGA","TCGA-A8-A08O-01","0",0.02,0.014,0.008,0.002,0.002
"TCGA","TCGA-A8-A08P-01",NA,0.04,0.21,0.142,0.13,0.156
"TCGA","TCGA-A8-A08R-01",NA,0.428,0.658,0.44,0.426,0.534
"TCGA","TCGA-A8-A08S-01",NA,0.026,0.026,0.018,0.01,0.012
